question_id,question,answer_type,gold_answer,gold_document,documents,dominant_conflicting_answer,company,policy
Q001,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,numeric,"7,430 Quens",Q001_source_10.md,12,"5,900 Quens",Velora Dynamics,Employee Reimbursement Policy
Q002,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,numeric,"184,000 calls",Q002_source_01.md,12,"150,000 calls",Nexora Systems,Cloud Access Standard
Q003,How long must Tier-3 diagnostic records be retained at Arclume Health?,numeric,11 years,Q003_source_07.md,12,7 years,Arclume Health,Clinical Data Retention Standard
Q004,What is the response-time SLA for Platinum-2 factory incidents at Solvane Robotics?,numeric,42 minutes,Q004_source_08.md,12,60 minutes,Solvane Robotics,Field Maintenance SLA
Q005,What is the collateral threshold for Class-M counterparties at Brinex Capital?,numeric,3.8 million Luma,Q005_source_08.md,12,2.5 million Luma,Brinex Capital,Settlement Risk Manual
Q006,What is the maximum idle dwell time for Route-Z cargo at Caventra Logistics?,numeric,26 hours,Q006_source_11.md,12,18 hours,Caventra Logistics,Cross-Border Routing Standard
Q007,At what temperature must Kappa-7 samples be stored at Orlith Bio?,numeric,-47°C,Q007_source_05.md,12,-20°C,Orlith Bio,Research Sample Handling Protocol
Q008,What reserve margin is required for Sector-R microgrids at Ternova Energy?,numeric,13.6%,Q008_source_07.md,12,10.0%,Ternova Energy,Grid Reserve Operating Rule
Q009,What is the maximum defect rate allowed for Q4-certified suppliers at Meridian Forge?,numeric,0.72%,Q009_source_12.md,12,1.00%,Meridian Forge,Supplier Quality Standard
Q010,What minimum audit sample size is required for Vela-class models at Asteron Labs?,numeric,"1,480 cases",Q010_source_08.md,12,"1,000 cases",Asteron Labs,Model Validation Handbook
Q011,After how many minutes must a P1-Silver network fault be escalated at Quoralis Telecom?,numeric,17 minutes,Q011_source_12.md,12,30 minutes,Quoralis Telecom,Network Fault Escalation Guide
Q012,How many inspection points are required for Delta-9 batches at Heliox Materials?,numeric,23 inspection points,Q012_source_03.md,12,16 inspection points,Heliox Materials,Hazardous Batch Inspection Rule
Q013,What is the maximum unmanned operating radius for Echo-4 vehicles at Sereva Mobility?,numeric,38 kilometers,Q013_source_12.md,12,25 kilometers,Sereva Mobility,Autonomous Fleet Safety Standard
Q014,What is the maximum transit temperature for Cobalt-line products at Noventra Foods?,numeric,3.4°C,Q014_source_12.md,12,5.0°C,Noventra Foods,Cold Chain Compliance Manual
Q015,How often must Omega-tier credentials be rotated at Elystrum Security?,numeric,every 19 days,Q015_source_11.md,12,every 30 days,Elystrum Security,Privileged Access Control Standard
Q016,What is the maximum number of concurrent privileged sessions allowed for Helix-9 administrative workspaces at Vaelora Cloud?,numeric,14 sessions,Q016_source_04.md,12,10 sessions,Vaelora Cloud,Privileged Workspace Access Standard
Q017,What minimum encryption-key length is required for Cinder-X telemetry archives at Bravion Aerospace?,numeric,"3,072 bits",Q017_source_09.md,12,"2,048 bits",Bravion Aerospace,Telemetry Archive Cryptography Standard
Q018,What cooling-off interval is required after sterilizing Batch-N4 vessels at Caldris Pharma?,numeric,38 minutes,Q018_source_02.md,12,30 minutes,Caldris Pharma,Sterilization Recovery Procedure
Q019,On what date are Aurora-class emissions reports due at Norwyn Transit?,date,"October 12, 2026",Q019_source_11.md,12,"October 31, 2026",Norwyn Transit,Fleet Emissions Reporting Calendar
Q020,On what date must the annual disaster-recovery exercise for Atlas-Blue systems occur at Peloris Bank?,date,"November 18, 2026",Q020_source_06.md,12,"December 2, 2026",Peloris Bank,Technology Resilience Exercise Calendar
Q021,When does the revised Sentinel-R access standard take effect at Quantara Research?,date,"January 7, 2027",Q021_source_01.md,12,"December 1, 2026",Quantara Research,Sentinel-R Access Standard
Q022,Which body has final approval authority for Zephyr-2 production releases at Avenor Systems?,entity,Platform Reliability Council,Q022_source_08.md,12,Release Engineering Team,Avenor Systems,Production Release Authority Charter
Q023,Which office may grant quarantine waivers for Delta-R specimens at Miravel Bio?,entity,Biosafety Compliance Office,Q023_source_03.md,12,Laboratory Operations Office,Miravel Bio,Specimen Quarantine Waiver Policy
Q024,Which group owns the final investigation of P0-Crimson incidents at Rethora Networks?,entity,Critical Incident Review Board,Q024_source_12.md,12,Network Operations Center,Rethora Networks,Critical Incident Ownership Standard
Q025,Which encryption profile is required for Nimbus-4 customer backups at Sorellian Data?,categorical,AES-256-GCM,Q025_source_05.md,12,AES-128-CBC,Sorellian Data,Customer Backup Encryption Standard
Q026,Which storage tier must hold Borealis-7 forensic snapshots at Trivex Security?,categorical,Glacier-Red,Q026_source_10.md,12,Archive-Blue,Trivex Security,Forensic Snapshot Storage Standard
Q027,What risk classification applies to Lattice-K payment events at Umbralis Finance?,categorical,Restricted-Critical,Q027_source_07.md,12,Confidential-High,Umbralis Finance,Payment Event Classification Standard
Q028,May Ardent-5 contractors export classified case records to personal devices at Loxen Legal?,boolean,No,Q028_source_04.md,12,Yes,Loxen Legal,Classified Case Record Handling Policy
Q029,Is approval from two independent reviewers mandatory for Nova-Prime releases at Tyveris AI?,boolean,Yes,Q029_source_09.md,12,No,Tyveris AI,Nova-Prime Release Review Standard
Q030,Can an offline Orion-Lite model bypass red-team review at Cevora Analytics?,boolean,No,Q030_source_02.md,12,Yes,Cevora Analytics,Model Red-Team Review Policy
